timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Filename,Latency
1439294035844,2865,Fixed CPI-Show,200,OK,Thread Group 1-1,text,true,1442,,2865
1439294038711,1045,Fixed CPI-Hide,200,OK,Thread Group 1-1,text,true,1442,,1045
1439294039757,441,Fixed CPI-Reward,200,OK,Thread Group 1-1,text,true,1442,,441
1439294040200,864,Whole CPI-Show,200,OK,Thread Group 1-1,text,true,830,,864
1439294041065,453,Whole CPI-Hide,200,OK,Thread Group 1-1,text,true,830,,453
1439294041519,427,Whole CPI-Reward,200,OK,Thread Group 1-1,text,true,830,,427
1439294041947,1016,Whole CPI-Show (US),200,OK,Thread Group 1-1,text,true,615,,1016
1439294042964,519,Whole CPI-Hide (US),200,OK,Thread Group 1-1,text,true,615,,519
1439294043484,544,Whole CPI-Reward (US),200,OK,Thread Group 1-1,text,true,805,,544
1439294044029,479,WholeCPI-Sweepstake (US),200,OK,Thread Group 1-1,text,true,805,,479
